CHAMBER,LEGISLATOR,PARTY,BARE-BONES,MORE EXPANSIVE
House,Alma Adams,Dem.,100,100
House,Pete Aguilar,Dem.,100,100
House,Colin Allred,Dem.,100,100
House,Jake Auchincloss,Dem.,100,100
House,Cindy Axne,Dem.,100,100
House,Nanette Diaz Barragán,Dem.,100,100
House,Karen Bass,Dem.,100,100
House,Joyce Beatty,Dem.,100,100
House,Ami Bera,Dem.,100,100
House,Don Beyer,Dem.,100,100
House,Sanford D. Bishop Jr.,Dem.,100,100
House,Earl Blumenauer,Dem.,100,100
House,Lisa Blunt Rochester,Dem.,100,100
House,Suzanne Bonamici,Dem.,100,100
House,Carolyn Bourdeaux,Dem.,100,100
House,Jamaal Bowman,Dem.,100,100
House,Brendan Boyle,Dem.,100,100
House,Anthony Brown,Dem.,100,100
House,Julia Brownley,Dem.,100,100
House,Cori Bush,Dem.,100,100
House,Cheri Bustos,Dem.,100,100
House,G.K. Butterfield,Dem.,100,100
House,Salud Carbajal,Dem.,100,100
House,Tony Cárdenas,Dem.,100,100
House,André Carson,Dem.,100,100
House,Troy A. Carter,Dem.,100,100
House,Matt Cartwright,Dem.,100,100
House,Ed Case,Dem.,100,100
House,Sean Casten,Dem.,100,100
House,Joaquin Castro,Dem.,100,100
House,Judy Chu,Dem.,100,100
House,David Cicilline,Dem.,100,100
House,Katherine Clark,Dem.,100,100
House,Yvette D. Clarke,Dem.,100,100
House,Emanuel Cleaver,Dem.,100,100
House,James E. Clyburn,Dem.,100,100
House,Steve Cohen,Dem.,100,100
House,Gerald E. Connolly,Dem.,100,100
House,Jim Cooper,Dem.,100,100
House,J. Luis Correa,Dem.,100,100
House,Joe Courtney,Dem.,100,100
House,Angie Craig,Dem.,100,100
House,Charlie Crist,Dem.,100,100
House,Jason Crow,Dem.,100,100
House,Henry Cuellar,Dem.,100,100
House,Sharice Davids,Dem.,100,100
House,Danny K. Davis,Dem.,100,100
House,Madeleine Dean,Dem.,100,100
House,Peter DeFazio,Dem.,100,100
House,Diana DeGette,Dem.,100,100
House,Rosa L. DeLauro,Dem.,100,100
House,Suzan DelBene,Dem.,100,100
House,Antonio Delgado,Dem.,100,100
House,Val Demings,Dem.,100,100
House,Mark DeSaulnier,Dem.,100,100
House,Ted Deutch,Dem.,100,100
House,Debbie Dingell,Dem.,100,100
House,Mike Doyle,Dem.,100,100
House,Veronica Escobar,Dem.,100,100
House,Anna G. Eshoo,Dem.,100,100
House,Adriano Espaillat,Dem.,100,100
House,Dwight Evans,Dem.,100,100
House,Lizzie Pannill Fletcher,Dem.,100,100
House,Bill Foster,Dem.,100,100
House,Lois Frankel,Dem.,100,100
House,Ruben Gallego,Dem.,100,100
House,John Garamendi,Dem.,100,100
House,Jesús “Chuy” García,Dem.,100,100
House,Sylvia R. Garcia,Dem.,100,100
House,Jimmy Gomez,Dem.,100,100
House,Vicente Gonzalez,Dem.,100,100
House,Josh Gottheimer,Dem.,100,100
House,Al Green,Dem.,100,100
House,Raúl Grijalva,Dem.,100,100
House,Josh Harder,Dem.,100,100
House,Jahana Hayes,Dem.,100,100
House,Brian Higgins,Dem.,100,100
House,Jim Himes,Dem.,100,100
House,Steven A. Horsford,Dem.,100,100
House,Chrissy Houlahan,Dem.,100,100
House,Steny H. Hoyer,Dem.,100,100
House,Jared Huffman,Dem.,100,100
House,Sheila Jackson Lee,Dem.,100,100
House,Sara Jacobs,Dem.,100,100
House,Pramila Jayapal,Dem.,100,100
House,Hakeem Jeffries,Dem.,100,100
House,Eddie Bernice Johnson,Dem.,100,100
House,Hank Johnson,Dem.,100,100
House,Mondaire Jones,Dem.,100,100
House,Kaiali’i Kahele,Dem.,100,100
House,Marcy Kaptur,Dem.,100,100
House,William Keating,Dem.,100,100
House,Ro Khanna,Dem.,100,100
House,Daniel Kildee,Dem.,100,100
House,Derek Kilmer,Dem.,100,100
House,Andy Kim,Dem.,100,100
House,Ann Kirkpatrick,Dem.,100,100
