date,fuel,mwh
1/1/2007,Coal,314608.64
1/1/2007,Gas,272456.95
1/1/2007,Hydro,688.96
1/1/2007,Nuclear,120060.02
1/1/2007,Oth,3743.90
1/1/2007,Wnd,14943.63
1/2/2007,Coal,313543.51
1/2/2007,Gas,347944.95
1/2/2007,Hydro,832.75
1/2/2007,Nuclear,120096.17
1/2/2007,Oth,9618.77
1/2/2007,Wnd,5160.22
1/3/2007,Coal,301613.10
1/3/2007,Gas,348752.54
1/3/2007,Hydro,780.87
1/3/2007,Nuclear,120136.38
1/3/2007,Oth,10484.15
1/3/2007,Wnd,8376.34
1/4/2007,Coal,314721.77
1/4/2007,Gas,285987.91
1/4/2007,Hydro,963.08
1/4/2007,Nuclear,120047.93
1/4/2007,Oth,7919.61
1/4/2007,Wnd,16060.24
1/5/2007,Coal,315025.67
1/5/2007,Gas,244870.64
1/5/2007,Hydro,684.46
1/5/2007,Nuclear,119988.39
1/5/2007,Oth,5453.28
1/5/2007,Wnd,18371.83
1/6/2007,Coal,305495.94
1/6/2007,Gas,242905.29
1/6/2007,Hydro,554.15
1/6/2007,Nuclear,119961.40
1/6/2007,Oth,4050.93
1/6/2007,Wnd,19074.97
1/7/2007,Coal,316764.03
1/7/2007,Gas,223769.64
1/7/2007,Hydro,339.88
1/7/2007,Nuclear,119991.42
1/7/2007,Oth,3637.03
1/7/2007,Wnd,25381.39
1/8/2007,Coal,331870.90
1/8/2007,Gas,300164.63
1/8/2007,Hydro,860.89
1/8/2007,Nuclear,120080.06
1/8/2007,Oth,8451.77
1/8/2007,Wnd,16427.55
1/9/2007,Coal,333859.27
1/9/2007,Gas,286618.97
1/9/2007,Hydro,754.40
1/9/2007,Nuclear,120188.40
1/9/2007,Oth,8278.88
1/9/2007,Wnd,18465.02
1/10/2007,Coal,312958.82
1/10/2007,Gas,266194.06
1/10/2007,Hydro,839.11
1/10/2007,Nuclear,120219.74
1/10/2007,Oth,6424.55
1/10/2007,Wnd,50830.38
1/11/2007,Coal,317653.08
1/11/2007,Gas,218641.98
1/11/2007,Hydro,365.96
1/11/2007,Nuclear,120182.35
1/11/2007,Oth,3168.90
