.draw,parameter,estimate
1,p_h2h_trump,0.4889861118945605
1,p_h2h_desantis,0.5110138881054395
1,p_multi_trump,0.4597858522240914
1,p_multi_desantis,0.3417906393981929
1,p_multi_other,0.1984235083777157
1,p_switch_trump,0.1471612910647864
1,p_switch_desantis,0.8528387089352137
2,p_h2h_trump,0.48590266615869243
2,p_h2h_desantis,0.5140973338413076
2,p_multi_trump,0.46206704295295337
2,p_multi_desantis,0.34095681498754504
2,p_multi_other,0.19697614205950165
2,p_switch_trump,0.12100766598697484
2,p_switch_desantis,0.8789923340130252
3,p_h2h_trump,0.48458490523124664
3,p_h2h_desantis,0.5154150947687535
3,p_multi_trump,0.46084313307114333
3,p_multi_desantis,0.3417941991561769
3,p_multi_other,0.19736266777267983
3,p_switch_trump,0.12029515220907354
3,p_switch_desantis,0.8797048477909265
4,p_h2h_trump,0.48310995727678574
4,p_h2h_desantis,0.5168900427232141
4,p_multi_trump,0.45756965808486044
4,p_multi_desantis,0.3444847544427147
4,p_multi_other,0.19794558747242474
4,p_switch_trump,0.12902686802999971
4,p_switch_desantis,0.8709731319700003
5,p_h2h_trump,0.48351323988354816
5,p_h2h_desantis,0.5164867601164518
5,p_multi_trump,0.4572504531094304
5,p_multi_desantis,0.3449163621964516
5,p_multi_other,0.19783318469411798
5,p_switch_trump,0.13275218116073018
5,p_switch_desantis,0.8672478188392698
6,p_h2h_trump,0.4823727774407373
6,p_h2h_desantis,0.5176272225592626
6,p_multi_trump,0.45853962678943083
6,p_multi_desantis,0.34292470962906185
6,p_multi_other,0.19853566358150734
6,p_switch_trump,0.12004468225690824
6,p_switch_desantis,0.8799553177430917
7,p_h2h_trump,0.4901103313048709
7,p_h2h_desantis,0.5098896686951291
7,p_multi_trump,0.461244396742486
7,p_multi_desantis,0.338801982313719
7,p_multi_other,0.19995362094379493
7,p_switch_trump,0.14436314994515084
7,p_switch_desantis,0.8556368500548492
8,p_h2h_trump,0.4865465642986798
8,p_h2h_desantis,0.5134534357013203
8,p_multi_trump,0.4558881338232932
8,p_multi_desantis,0.34538031060114543
8,p_multi_other,0.19873155557556144
8,p_switch_trump,0.15427057060261226
8,p_switch_desantis,0.8457294293973876
9,p_h2h_trump,0.49249209343208017
9,p_h2h_desantis,0.5075079065679198
9,p_multi_trump,0.44874351942444735
9,p_multi_desantis,0.3489267396042982
9,p_multi_other,0.2023297409712544
9,p_switch_trump,0.2162241388617619
9,p_switch_desantis,0.783775861138238
10,p_h2h_trump,0.4855217693188134
10,p_h2h_desantis,0.5144782306811866
10,p_multi_trump,0.4595806496642166
10,p_multi_desantis,0.33739779211308063
10,p_multi_other,0.20302155822270276
10,p_switch_trump,0.12777519728294529
10,p_switch_desantis,0.8722248027170546
11,p_h2h_trump,0.49236944302302166
11,p_h2h_desantis,0.5076305569769783
11,p_multi_trump,0.4508699576892384
11,p_multi_desantis,0.35093173909291653
11,p_multi_other,0.19819830321784515
11,p_switch_trump,0.20938365596485498
11,p_switch_desantis,0.790616344035145
12,p_h2h_trump,0.5031838656252223
12,p_h2h_desantis,0.4968161343747777
12,p_multi_trump,0.45839246895715346
12,p_multi_desantis,0.344518499977701
12,p_multi_other,0.19708903106514547
12,p_switch_trump,0.22726478701528316
12,p_switch_desantis,0.7727352129847168
13,p_h2h_trump,0.4784637698656697
13,p_h2h_desantis,0.5215362301343303
13,p_multi_trump,0.4588355592735745
13,p_multi_desantis,0.3487139803402613
