arm_id,observed,censored,n
1,0,0,227826
1,0,1,2413
1,1,0,23873
1,1,1,946
1,2,0,13597
1,2,1,813
1,3,0,9417
1,3,1,706
1,4,0,6937
1,4,1,644
1,5,0,5468
1,5,1,610
1,6,0,4343
1,6,1,548
1,7,0,3744
1,7,1,538
1,8,0,3208
1,8,1,521
1,9,0,2764
1,9,1,463
1,10,0,2459
1,10,1,449
1,11,0,2265
1,11,1,422
1,12,0,1939
1,12,1,428
1,13,0,1896
1,13,1,410
1,14,0,1665
1,14,1,388
1,15,0,1573
1,15,1,399
1,16,0,1543
1,16,1,361
1,17,0,1512
1,17,1,362
1,18,0,1426
1,18,1,342
1,19,0,1343
1,19,1,351
1,20,0,1279
1,20,1,336
1,21,0,1287
1,21,1,309
1,22,0,1199
1,22,1,335
1,23,0,1131
1,23,1,311
1,24,0,1105
1,24,1,271
1,25,0,1055
1,25,1,278
1,26,0,1029
1,26,1,290
1,27,0,956
1,27,1,252
1,28,0,976
1,28,1,271
1,29,0,893
1,29,1,257
1,30,0,846
1,30,1,259
1,31,0,868
1,31,1,232
1,32,0,811
1,32,1,259
1,33,0,807
1,33,1,246
1,34,0,766
1,34,1,241
1,35,0,780
1,35,1,202
1,36,0,713
1,36,1,229
1,37,0,635
1,37,1,202
1,38,0,659
1,38,1,194
1,39,0,601
1,39,1,178
1,40,0,588
1,40,1,173
1,41,0,567
1,41,1,185
1,42,0,579
1,42,1,156
1,43,0,530
1,43,1,174
1,44,0,477
1,44,1,146
1,45,0,489
1,45,1,157
1,46,0,482
1,46,1,164
1,47,0,442
1,47,1,152
1,48,0,403
1,48,1,155
1,49,0,437
1,49,1,138
1,50,0,407
1,50,1,166
1,51,0,388
1,51,1,135
1,52,0,351
1,52,1,119
1,53,0,343
1,53,1,117
1,54,0,352
1,54,1,119
1,55,0,301
1,55,1,132
1,56,0,330
1,56,1,107
1,57,0,315
1,57,1,128
1,58,0,292
1,58,1,104
1,59,0,282
1,59,1,98
1,60,0,258
1,60,1,104
1,61,0,260
1,61,1,83
1,62,0,224
1,62,1,102
1,63,0,220
1,63,1,89
1,64,0,225
1,64,1,79
1,65,0,210
1,65,1,79
1,66,0,208
1,66,1,75
1,67,0,191
1,67,1,73
1,68,0,174
1,68,1,81
1,69,0,188
1,69,1,81
1,70,0,157
1,70,1,65
1,71,0,163
1,71,1,83
1,72,0,171
1,72,1,72
1,73,0,159
1,73,1,51
1,74,0,144
1,74,1,65
1,75,0,152
1,75,1,68
1,76,0,127
1,76,1,52
1,77,0,110
1,77,1,64
1,78,0,127
1,78,1,53
1,79,0,127
1,79,1,48
1,80,0,101
1,80,1,63
1,81,0,99
1,81,1,55
1,82,0,111
1,82,1,59
1,83,0,126
1,83,1,47
1,84,0,97
1,84,1,44
1,85,0,92
1,85,1,42
1,86,0,93
1,86,1,48
1,87,0,70
1,87,1,42
1,88,0,82
1,88,1,38
1,89,0,77
1,89,1,34
1,90,0,64
1,90,1,36
1,91,0,76
1,91,1,46
1,92,0,63
1,92,1,46
1,93,0,58
1,93,1,36
1,94,0,71
1,94,1,30
1,95,0,54
1,95,1,33
1,96,0,57
1,96,1,33
1,97,0,38
1,97,1,32
1,98,0,43
1,98,1,33
1,99,0,40
1,99,1,29
1,100,0,36
1,100,1,26
1,101,0,45
1,101,1,34
1,102,0,38
1,102,1,31
1,103,0,32
1,103,1,23
1,104,0,29
1,104,1,27
1,105,0,38
1,105,1,28
1,106,0,26
1,106,1,22
1,107,0,26
1,107,1,33
1,108,0,35
1,108,1,23
1,109,0,36
1,109,1,24
1,110,0,22
1,110,1,24
1,111,0,26
1,111,1,19
1,112,0,24
1,112,1,18
1,113,0,23
1,113,1,20
1,114,0,18
1,114,1,25
1,115,0,15
1,115,1,22
1,116,0,22
1,116,1,21
1,117,0,20
1,117,1,19
1,118,0,13
1,118,1,19
1,119,0,25
1,119,1,20
1,120,0,17
1,120,1,15
1,121,0,9
1,121,1,14
1,122,0,17
1,122,1,12
1,123,0,8
1,123,1,19
1,124,0,6
1,124,1,15
1,125,0,6
1,125,1,12
1,126,0,9
1,126,1,10
1,127,0,6
1,127,1,16
1,128,0,6
1,128,1,17
1,129,0,5
1,129,1,15
1,130,0,10
1,130,1,10
1,131,0,2
1,131,1,11
1,132,0,4
1,132,1,12
1,133,0,3
1,133,1,13
1,134,0,1
1,134,1,11
1,135,0,4
1,135,1,7
1,136,0,2
1,136,1,17
1,137,0,2
1,137,1,7
1,138,0,1
1,138,1,11
1,139,0,3
1,139,1,14
1,140,0,3
1,140,1,16
1,141,0,3
1,141,1,7
1,142,0,2
1,142,1,16
1,143,0,1
1,143,1,4
1,144,1,8
1,145,0,4
1,145,1,6
1,146,1,11
1,147,0,1
1,147,1,10
1,148,1,6
1,149,1,9
2,0,0,222351
2,0,1,2444
2,1,0,21099
2,1,1,1052
2,2,0,12155
2,2,1,859
2,3,0,8338
2,3,1,711
2,4,0,6485
2,4,1,722
2,5,0,5120
2,5,1,671
2,6,0,4142
2,6,1,662
2,7,0,3572
2,7,1,650
2,8,0,2947
2,8,1,587
2,9,0,2623
2,9,1,571
2,10,0,2353
2,10,1,520
2,11,0,2266
2,11,1,496
2,12,0,2046
2,12,1,566
2,13,0,1915
2,13,1,511
2,14,0,1880
2,14,1,506
2,15,0,1852
2,15,1,493
2,16,0,1707
2,16,1,463
2,17,0,1643
2,17,1,448
2,18,0,1622
2,18,1,412
2,19,0,1524
2,19,1,445
2,20,0,1481
2,20,1,414
2,21,0,1450
2,21,1,382
2,22,0,1383
2,22,1,408
2,23,0,1246
2,23,1,353
2,24,0,1333
2,24,1,393
2,25,0,1206
2,25,1,354
2,26,0,1243
2,26,1,362
2,27,0,1173
2,27,1,331
2,28,0,1103
2,28,1,316
2,29,0,1024
2,29,1,345
2,30,0,1013
2,30,1,296
2,31,0,954
2,31,1,342
2,32,0,973
2,32,1,297
2,33,0,909
2,33,1,269
2,34,0,900
2,34,1,263
2,35,0,811
2,35,1,296
2,36,0,775
2,36,1,308
2,37,0,844
2,37,1,267
2,38,0,746
2,38,1,249
2,39,0,693
2,39,1,228
2,40,0,707
2,40,1,230
2,41,0,721
2,41,1,216
2,42,0,638
2,42,1,250
2,43,0,623
2,43,1,222
2,44,0,574
2,44,1,227
2,45,0,544
2,45,1,218
2,46,0,482
2,46,1,226
2,47,0,528
2,47,1,203
2,48,0,493
2,48,1,172
2,49,0,440
2,49,1,196
2,50,0,465
2,50,1,188
2,51,0,445
2,51,1,170
2,52,0,417
2,52,1,165
2,53,0,411
2,53,1,151
2,54,0,402
2,54,1,145
2,55,0,377
2,55,1,153
2,56,0,359
2,56,1,167
2,57,0,365
2,57,1,162
2,58,0,335
2,58,1,133
2,59,0,303
2,59,1,140
2,60,0,341
2,60,1,141
2,61,0,315
2,61,1,147
2,62,0,271
2,62,1,131
2,63,0,281
2,63,1,149
2,64,0,258
2,64,1,122
2,65,0,273
2,65,1,120
2,66,0,239
2,66,1,116
2,67,0,226
2,67,1,110
2,68,0,224
2,68,1,105
2,69,0,238
2,69,1,113
2,70,0,229
2,70,1,116
2,71,0,214
2,71,1,110
2,72,0,221
2,72,1,96
2,73,0,190
2,73,1,96
2,74,0,165
2,74,1,89
2,75,0,159
2,75,1,95
2,76,0,180
2,76,1,74
2,77,0,160
2,77,1,96
2,78,0,134
2,78,1,91
2,79,0,157
2,79,1,68
2,80,0,144
2,80,1,92
2,81,0,128
2,81,1,71
2,82,0,143
2,82,1,76
2,83,0,127
2,83,1,68
2,84,0,145
2,84,1,71
2,85,0,111
2,85,1,69
2,86,0,117
2,86,1,68
2,87,0,93
2,87,1,81
2,88,0,95
2,88,1,64
2,89,0,71
2,89,1,63
2,90,0,79
2,90,1,56
2,91,0,86
2,91,1,72
2,92,0,86
2,92,1,64
2,93,0,82
2,93,1,59
2,94,0,63
2,94,1,64
2,95,0,73
2,95,1,71
2,96,0,73
2,96,1,50
2,97,0,59
2,97,1,58
2,98,0,58
2,98,1,44
2,99,0,58
2,99,1,60
2,100,0,61
2,100,1,41
2,101,0,66
2,101,1,59
2,102,0,59
2,102,1,43
2,103,0,45
2,103,1,41
2,104,0,45
2,104,1,58
2,105,0,43
2,105,1,53
2,106,0,43
2,106,1,52
2,107,0,52
2,107,1,43
2,108,0,30
2,108,1,40
2,109,0,38
2,109,1,37
2,110,0,44
2,110,1,27
2,111,0,34
2,111,1,32
2,112,0,30
2,112,1,41
2,113,0,22
2,113,1,41
2,114,0,30
2,114,1,24
2,115,0,31
2,115,1,40
2,116,0,14
2,116,1,35
2,117,0,15
2,117,1,30
2,118,0,22
2,118,1,28
2,119,0,14
2,119,1,27
2,120,0,27
2,120,1,36
2,121,0,14
2,121,1,42
2,122,0,17
2,122,1,29
2,123,0,20
2,123,1,39
2,124,0,19
2,124,1,31
2,125,0,14
2,125,1,29
2,126,0,18
2,126,1,22
2,127,0,15
2,127,1,30
2,128,0,16
2,128,1,16
2,129,0,10
2,129,1,27
2,130,0,12
2,130,1,31
2,131,0,7
2,131,1,27
2,132,0,8
2,132,1,30
2,133,0,10
2,133,1,24
2,134,0,9
2,134,1,23
2,135,0,5
2,135,1,25
2,136,0,4
2,136,1,33
2,137,0,4
2,137,1,24
2,138,0,5
2,138,1,21
2,139,0,4
2,139,1,26
2,140,0,3
2,140,1,22
2,141,0,6
2,141,1,17
2,142,0,4
2,142,1,11
2,143,0,4
2,143,1,29
2,144,0,3
2,144,1,17
2,145,0,1
2,145,1,14
2,146,1,13
2,147,0,1
2,147,1,20
2,148,1,18
2,149,1,16
