rank,name,rank_score
1,Brennan Lee Mulligan,6.089375000000378
2,"Jon ""Gutes"" Gutierrez",16.59187500000139
3,Jeremy Puckett,29.805750000000437
4,Erika Ishii,32.81324999999802
5,Matt Mercer,36.28675000000066
6,Joan Ford,37.45718750000283
7,Ify Nwadiwe,38.03212500000144
8,Jamel Wood,39.61062499999894
9,Rekha Shankar,41.00300000000246
10,Jared Logan,42.373187500003574
11,Eli Yudin,47.167124999995096
12,Nick Marini,51.49537500000129
13,Anthony Burch,53.047999999999014
14,Kaitlin Thompson,54.97499999999603
15,Siobhan Thompson,56.11050000000238
16,Travis McElroy,56.572812499998015
17,Jordan Doll,56.77881250000413
18,Dan Black,57.89293749999933
19,Amy Dallen,58.45631250000128
20,Zac Oyama,58.90943750000129
21,Cody Ziglar,59.50343749999871
22,"Matthew ""Nando"" Kelly",59.65731250000045
23,Benjamin Siemon,62.12093749999693
24,Nathan Yaffe,63.088812499996045
25,Carolyn Page,63.47137500000412
26,James Willems,63.84856249999735
27,Ian Adams,64.61125000000416
28,Shane Crown,65.38862499999549
29,Luke Field,66.68368750000326
30,Jason Gong,69.4623125000007
31,Julia Prescott,72.97531250000108
32,Jon Braylock,73.71387500000513
33,Carlos Luna,73.74262499999446
34,Ross Bryant,74.05337500000373
35,SungWon Cho,74.1893124999955
36,Joey Bland,74.42937499999456
37,Emma Fyffe,76.5490625000032
38,"Brian ""Murph"" Murphy",76.94968750000248
39,Jasmine Bhullar,77.05481250000237
40,Karen Han,77.10287499999615
41,Noah Diamond,77.3277500000029
42,Hector Navarro,77.61318749999464
43,Caldwell Tanner,77.891562500002
44,Matt Acevedo,77.91031250000312
45,Jeff Hiller,78.3971875000011
46,Izzy Roland,78.87287499999913
47,Ben Joseph,78.99137499999509
48,Brodie Reed,79.41856249999643
49,Kim Horcher,79.9577499999987
50,Dani Fernandez,80.73762499999842
51,Michael Saltzman,81.63693749999489
52,Krystina Arielle,82.06499999999798
53,DC Pierson,82.31593749999679
54,Jessica Clemons,82.34606249999933
55,Betsy Sodaro,84.65037500000224
56,Kendra Wells,84.91799999999614
57,Grant O'Brien,85.07568749999884
58,Erik Voss,85.20793749999733
59,Damien Haas,85.6454999999943
60,Thomas Middleditch,86.0313124999961
61,Emily Heller,86.04237500000372
62,Mike Trapp,86.20112500000178
63,Satine Phoenix,86.98587499999444
64,Jimmy Wong,87.8181250000031
65,Mano Agapion,88.27474999999579
66,Justin McElroy,88.48299999999858
67,Freddie Wong,88.65393750000068
68,B. Dave Walters,89.0012499999989
69,MT,89.44793750000483
70,Owen Parsons,89.45474999999678
71,Mark Rennie,89.74743750000539
72,Terence Wiggins,89.78593749999575
73,Aabria Iyengar,89.80781250000383
74,Demi Adejuyigbe,90.76724999999682
75,Grae Drake,90.83606250000251
76,Alyssa Rousonelos,91.73843750000314
77,Talieson Jaffe,92.48893750000278
78,Dante Basco,93.90625
79,Charlotte Avery,94.22387500000283
80,Amanda Lehan-Canto,94.25993750000087
81,Milana Vayntrub,94.3253750000075
82,Jordan Adika,94.47674999999845
83,Azeem Jimoh,94.52887500000458
84,Harvey Guillén,94.62587500000183
85,Jack De Sena,94.67012499999693
86,Xavier Woods,94.74731250000286
87,Janet Varney,94.80524999999626
88,Monét X Change,94.81787499999751
89,Trinity Taylor,94.88393749999574
90,Keith Habersberger,94.94600000000263
91,Jarvis Johnson,95.06431249999531
92,Elyse Willems,95.50062500000723
93,Jonah Ray Rodrigues,95.62587500000183
94,Janie Stolar,95.696812499995
95,Sam Bashor,95.72956250000267
96,Jujubee,95.78374999999795
97,Frosk,96.50537499999801
98,Vanessa Guerrero,97.00518749999519
99,Becky Drysdale,97.43712500000291
100,Orion Black,97.50087500000183
101,Edgar Momplaisir,97.50725000000367
102,Winston A. Marshall,97.67487500000264
103,Blaine Swen,98.35475000000132
104,Daniel O'Brien,98.5376874999985
105,Alex Schmidt,99.66431249999529
106,Morgan Lavandowska,99.83906250000467
107,Beth May,100.1887499999989
108,Markeia McCarty,100.20906249999994
109,Justin Matson,100.6506875000034
110,Ryanni,100.76187500000314
111,Nikhil Clayton,100.93912499999678
112,Chris Grace,101.10650000000413
113,Morgana Ignis,101.13612500000397
114,Marina Mastros,101.24993750000407
115,Shay Parsons,101.6781249999956
116,Lou Wilson,101.79112500000396
117,Nick Mundy,101.80093750000314
118,Kirk Damato,102.66287500000217
119,Saige Ryan,102.69775000000193
120,Omar Najam,102.86437499999658
121,Glenn Boozan,102.9478749999953
122,David Gallegos,103.32700000000341
123,Zeke Nicholson,103.63187500000193
124,Stef Woodburn,103.87412499999819
125,Liam O'Brien,105.04918749999932
126,Matt Kirshen,105.12093749999686
127,Ken Napzok,105.8391874999975
128,Haley Mancini,106.17587500000168
129,Ryan Martin,106.2297500000013
130,Becca Scott,106.35812500000108
131,Mike Drucker,106.590437499997
132,Alice Wetterlund,106.6432500000048
133,Michelle Khare,107.5666875000047
134,Persephone Valentine,108.69606249999508
135,Fiona Nova,109.74824999999707
136,Natalie Palamides,109.949312500006
137,Rachel Bloom,110.00993750000087
138,Marisha Ray,110.69887499999842
139,Lily Du,111.12812500000425
140,Jackie Kashian,111.26049999999731
141,David Kerns,112.26493749999749
142,Steven Plescia,112.53012500000312
143,Brian David Gilbert,112.69749999999762
144,Coy Jandreau,113.66881250000564
145,T.J. Gonzalez,114.36587500000392
146,Kelly Nugent,114.66906249999694
147,Sam Riegel,115.22481249999707
148,Zach Sherwin,115.5640625000043
149,Kara Klenk,116.43087500000252
150,Gustavo Sorola,117.06543750000363
151,Lindsay Katai,118.7980625000024
152,Maggie Mae Fish,118.80243749999778
153,Surena Marie,119.14800000000533
154,Chris Calilung,119.30781250000413
155,Adam Conover,119.59975000000436
156,Alex Song,119.78293750000617
157,Riley Silverman,120.3151874999973
158,Liam Senior,120.98400000000285
159,Jon Gabrus,121.54581249999956
160,Maude Garrett,121.98112500000217
161,Frank Hejl,122.03762500000244
162,Emily Axford,122.74368749999539
163,Lindsay Jones,123.2756249999974
164,Nate Dern,124.04512499999711
165,Ryan Creamer,124.98381250000342
166,Oscar Montoya,125.12056249999978
167,Sam Maggs,125.95931250000304
168,Jenny Lorenzo,126.13168750000185
169,Vernon X. Odemns,126.24737499999539
170,Maddox,126.27349999999704
171,Zach Kornfeld,126.68224999999585
172,Devon Stewart,128.31556249999454
173,Andrew Rosas,129.86593750000108
174,Clint McElroy,135.00924999999762
175,Ivan Van Norman,135.41374999999485
176,Jay Washington,135.49443749999688
177,Raphael Chestang,135.6208750000049
178,Trisha Hershberger,135.84449999999543
179,Eme Ikwuakor,135.90275000000003
180,Jessica Ross,136.59899999999843
181,Johnny Stanton,136.6221250000038
182,Danielle Radford,137.1678750000008
183,Adam Lustick,137.18662499999823
184,Amy Vorpahl,138.76199999999807
185,Malika Lim Eubank,140.98599999999738
186,Spencer Porter,141.80006250000127
187,Tao Yang,143.88149999999737
188,Michelle Nguyen Bradley,149.13906249999684
189,Ally Beardsley,157.30200000000076
