name,estimate,.lower,.upper,.width,.point,.interval
Aabria Iyengar,0.3311545,0.10289714,0.5714435500000002,0.66,median,qi
Adam Conover,0.18821749999999998,-0.040233512000000006,0.41309773000000005,0.66,median,qi
Adam Lustick,0.08468165,-0.19540732000000002,0.3408788800000001,0.66,median,qi
Alex Schmidt,0.286563,0.032664875999999995,0.5367215000000001,0.66,median,qi
Alex Song,0.184552,-0.07757481800000002,0.4325674500000002,0.66,median,qi
Alice Wetterlund,0.2545845,0.0029959029999999977,0.49542678,0.66,median,qi
Ally Beardsley,-0.0140232,-0.22062018,0.1801015300000001,0.66,median,qi
Alyssa Rousonelos,0.328203,0.07539167999999999,0.5730257200000002,0.66,median,qi
Amanda Lehan-Canto,0.314363,0.038072568,0.58647736,0.66,median,qi
Amy Dallen,0.4757615,0.30889843,0.6455875500000001,0.66,median,qi
Amy Vorpahl,0.1109875,-0.05665683800000001,0.2702242100000001,0.66,median,qi
Andrew Rosas,0.141373,-0.07531427900000001,0.35158808,0.66,median,qi
Anthony Burch,0.5334795,0.28171693,0.7972595400000007,0.66,median,qi
Azeem Jimoh,0.3136095,0.029165094000000003,0.5960867200000002,0.66,median,qi
B. Dave Walters,0.3385175,0.10855817,0.5687364800000001,0.66,median,qi
Becca Scott,0.25909550000000003,0.091547841,0.4252380600000001,0.66,median,qi
Becky Drysdale,0.3020275,0.04005090499999997,0.5490616600000001,0.66,median,qi
Ben Joseph,0.3878975,0.14130805,0.6449306300000002,0.66,median,qi
Benjamin Siemon,0.4711075,0.25115983,0.6946809,0.66,median,qi
Beth May,0.2855615,0.031547821999999996,0.5319815400000002,0.66,median,qi
Betsy Sodaro,0.3627535,0.13102506,0.58107827,0.66,median,qi
Blaine Swen,0.2902975,0.03653021599999999,0.5479555600000001,0.66,median,qi
Brennan Lee Mulligan,0.916239,0.7575406299999999,1.0799834,0.66,median,qi
"Brian ""Murph"" Murphy",0.397999,0.17430602,0.61572559,0.66,median,qi
Brian David Gilbert,0.2232475,-0.021078834000000005,0.4565036600000001,0.66,median,qi
Brodie Reed,0.3878545,0.13777226999999995,0.6393097600000001,0.66,median,qi
Caldwell Tanner,0.388382,0.19273899,0.5788567600000001,0.66,median,qi
Carlos Luna,0.4178075,0.17020985,0.6733476600000001,0.66,median,qi
Carolyn Page,0.45500050000000003,0.27498447,0.6367470700000002,0.66,median,qi
Charlotte Avery,0.3152465,0.03715663399999998,0.5873623900000002,0.66,median,qi
Chris Calilung,0.18793949999999998,-0.09324706699999999,0.44218717,0.66,median,qi
Chris Grace,0.2771645,0.024684129999999985,0.5280741000000002,0.66,median,qi
Clint McElroy,0.09607735,-0.18066123000000003,0.35243299000000006,0.66,median,qi
Cody Ziglar,0.487811,0.26043633,0.7287856800000001,0.66,median,qi
Coy Jandreau,0.212939,-0.053446415000000025,0.4686409300000001,0.66,median,qi
Damien Haas,0.356334,0.10896434999999999,0.6058417,0.66,median,qi
Dan Black,0.4962405,0.26798909,0.72059004,0.66,median,qi
Dani Fernandez,0.38190999999999997,0.15450928000000003,0.60481242,0.66,median,qi
Daniel O'Brien,0.293794,0.037847773,0.5451881900000002,0.66,median,qi
Danielle Radford,0.11211499999999999,-0.078682348,0.2910874800000003,0.66,median,qi
Dante Basco,0.3177955,0.028949175999999986,0.5980038400000002,0.66,median,qi
David Gallegos,0.266546,0.017125240999999992,0.51484061,0.66,median,qi
David Kerns,0.2197515,-0.032616996000000016,0.46971812,0.66,median,qi
DC Pierson,0.3686885,0.14498103,0.6040310200000001,0.66,median,qi
Demi Adejuyigbe,0.32962800000000003,0.089636736,0.5676742500000003,0.66,median,qi
Devon Stewart,0.138329,-0.12507963,0.38654006,0.66,median,qi
Edgar Momplaisir,0.29726600000000003,0.045174296999999995,0.54648032,0.66,median,qi
Eli Yudin,0.5571955,0.33632345,0.7786746800000002,0.66,median,qi
Elyse Willems,0.30451249999999996,0.022604341999999975,0.5814515800000002,0.66,median,qi
Eme Ikwuakor,0.094339,-0.17826794999999998,0.34569844000000033,0.66,median,qi
Emily Axford,0.1695615,-0.092720816,0.41265357000000014,0.66,median,qi
