name,prob_best
Aabria Iyengar,0.0012500000000000193
Adam Conover,0
Adam Lustick,1.250000000000088e-4
Alex Schmidt,8.750000000000176e-4
Alex Song,5.000000000000268e-4
Alice Wetterlund,0.0011249999999999793
Ally Beardsley,0
Alyssa Rousonelos,0.002750000000000033
Amanda Lehan-Canto,0.003999999999999997
Amy Dallen,6.249999999999905e-4
Amy Vorpahl,0
Andrew Rosas,0
Anthony Burch,0.02212499999999975
Azeem Jimoh,0.0062499999999999925
B. Dave Walters,0.0017500000000000302
Becca Scott,0
Becky Drysdale,0.0017500000000000458
Ben Joseph,0.006625000000000151
Benjamin Siemon,0.006000000000000033
Beth May,0.0015000000000000007
Betsy Sodaro,7.49999999999992e-4
Blaine Swen,0.002500000000000036
Brian David Gilbert,7.500000000000014e-4
"Brian ""Murph"" Murphy",0.0020000000000000226
Brennan Lee Mulligan,0.21987500000000057
Brodie Reed,0.007500000000000045
Caldwell Tanner,5.000000000000143e-4
Carlos Luna,0.006249999999999965
Carolyn Page,0.0014999999999999734
Charlotte Avery,0.005125000000000001
Chris Calilung,5.000000000000325e-4
Chris Grace,0.00112499999999997
Clint McElroy,1.249999999999863e-4
Cody Ziglar,0.010874999999999746
Coy Jandreau,0.0010000000000000668
Damien Haas,0.0028750000000000255
Dan Black,0.009250000000000059
Dani Fernandez,0.001750000000000035
Daniel O'Brien,0.002750000000000015
Danielle Radford,0
Dante Basco,0.00537500000000008
David Gallegos,0.0011249999999999837
David Kerns,0.0014999999999999948
DC Pierson,0.002249999999999999
Demi Adejuyigbe,0.0011249999999999756
Devon Stewart,8.75000000000001e-4
Edgar Momplaisir,0.0016249999999999947
Eli Yudin,0.016125000000000018
Elyse Willems,0.003749999999999982
Eme Ikwuakor,2.5000000000001665e-4
Emily Axford,3.7499999999998933e-4
Emily Heller,0.003875000000000027
Emma Fyffe,0
Erik Voss,0.00162500000000001
Erika Ishii,0.007999999999999993
Glenn Boozan,7.499999999999896e-4
Grant O'Brien,0.002875000000000028
Fiona Nova,8.749999999999936e-4
Frank Hejl,2.4999999999999177e-4
Freddie Wong,0.004250000000000072
Frosk,0.002000000000000015
Grae Drake,0.0022499999999999504
Gustavo Sorola,0
Haley Mancini,0
Harvey Guillén,0.005750000000000033
Hector Navarro,0.003875000000000044
Ian Adams,0.012375000000000044
Ify Nwadiwe,0.0018749999999999778
Ivan Van Norman,3.7499999999999274e-4
Izzy Roland,0.0013750000000000437
Jack De Sena,0.004374999999999985
Jackie Kashian,2.4999999999998244e-4
Jamel Wood,0.05562500000000053
James Willems,0.01375000000000006
Janet Varney,0.006624999999999969
Janie Stolar,0.0012500000000000087
Jared Logan,0.016750000000000063
Jarvis Johnson,0.006500000000000045
Jasmine Bhullar,0.006624999999999941
Jason Gong,0.01012500000000001
Jay Washington,0
Jeff Hiller,0.005249999999999817
Jenny Lorenzo,2.500000000000143e-4
Jeremy Puckett,0.09849999999999999
Jessica Clemons,5.000000000000142e-4
Jessica Ross,0
Jimmy Wong,0.0038749999999999943
Joan Ford,0.010499999999999836
Joey Bland,0.008125000000000094
Johnny Stanton,3.749999999999907e-4
Jon Braylock,0.008500000000000006
Jon Gabrus,2.5000000000001383e-4
"Jon ""Gutes"" Gutierrez",0.04575000000000004
Jonah Ray Rodrigues,0.005749999999999917
Jordan Adika,0.006000000000000026
Jordan Doll,0.0013750000000000188
Jujubee,0.0046249999999999816
Julia Prescott,0.004874999999999964
Justin Matson,0.0026249999999999286
Justin McElroy,0.0024999999999999324
Kaitlin Thompson,0.01749999999999995
Kara Klenk,6.249999999999977e-4
Karen Han,0.005249999999999949
Keith Habersberger,0.004750000000000107
Kelly Nugent,0
Ken Napzok,0.0013750000000000118
Kendra Wells,0.0032500000000000215
Kim Horcher,0.005875000000000107
Kirk Damato,0
Krystina Arielle,0.001124999999999963
Liam O'Brien,7.499999999999868e-4
Liam Senior,0
Lily Du,8.749999999999962e-4
Lindsay Jones,1.2499999999999062e-4
Lindsay Katai,5.00000000000029e-4
Lou Wilson,0.0012499999999999799
Luke Field,0.0035000000000000512
Maddox,3.7499999999998895e-4
Maggie Mae Fish,2.500000000000091e-4
Malika Lim Eubank,0
Mano Agapion,0.002750000000000033
Marina Mastros,0.0016249999999999607
Marisha Ray,5.000000000000154e-4
Mark Rennie,0.0027500000000001148
Markeia McCarty,0
Matt Acevedo,0.002999999999999909
Matt Kirshen,0.001124999999999978
Matt Mercer,0.015000000000000024
Maude Garrett,5.000000000000287e-4
Michael Saltzman,0.001874999999999999
Michelle Khare,0.0016249999999999613
Michelle Nguyen Bradley,0
Mike Drucker,1.2500000000000851e-4
Mike Trapp,0.005000000000000048
Milana Vayntrub,0.00512499999999998
Monét X Change,0.004874999999999968
Morgan Lavandowska,0.0023749999999999887
Morgana Ignis,0.0018749999999999629
MT,0.0021250000000000205
Natalie Palamides,8.749999999999931e-4
"Matthew ""Nando"" Kelly",0.016374999999999973
Nate Dern,2.50000000000012e-4
Nathan Yaffe,0.012124999999999943
Nick Marini,0.005499999999999986
Nick Mundy,0.002624999999999937
Nikhil Clayton,0.001750000000000051
Noah Diamond,0.005624999999999877
Omar Najam,7.499999999999869e-4
Orion Black,0.001750000000000029
Oscar Montoya,1.249999999999868e-4
Owen Parsons,0.0025000000000000365
Persephone Valentine,5.000000000000299e-4
Rachel Bloom,0.0014999999999999985
Raphael Chestang,2.500000000000119e-4
Rekha Shankar,0.012500000000000157
Riley Silverman,5.000000000000157e-4
Ross Bryant,0.007875000000000009
Ryan Creamer,1.2499999999998642e-4
Ryan Martin,1.2500000000000746e-4
Ryanni,0.0018749999999999648
Saige Ryan,0.001874999999999975
Sam Bashor,0.001375000000000033
Sam Maggs,2.5000000000001486e-4
Sam Riegel,7.499999999999917e-4
Satine Phoenix,0.004124999999999976
Shane Crown,1.2499999999998683e-4
Shay Parsons,0.0022499999999999604
Siobhan Thompson,5.00000000000014e-4
Spencer Porter,0
Stef Woodburn,0.001624999999999955
Steven Plescia,0.001000000000000024
SungWon Cho,0.009624999999999988
Surena Marie,0.0010000000000000295
Talieson Jaffe,0.0017500000000000497
Tao Yang,0
Terence Wiggins,0.0036250000000000097
Thomas Middleditch,0.004874999999999909
T.J. Gonzalez,6.250000000000004e-4
Travis McElroy,0.02087499999999983
Trinity Taylor,0.0056249999999998905
Trisha Hershberger,0
Vanessa Guerrero,0.00175000000000003
Vernon X. Odemns,6.249999999999923e-4
Winston A. Marshall,1.2500000000000933e-4
Xavier Woods,0.003999999999999997
Zac Oyama,0.0022499999999999834
Zach Kornfeld,6.24999999999977e-4
Zach Sherwin,6.250000000000209e-4
Zeke Nicholson,5.000000000000262e-4
